City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cidreira,BR,2022-05-22 05:36:19,-30.1811,-50.2056,55.27,81,97,4.07
1,Hithadhoo,MV,2022-05-22 05:28:08,-0.6,73.0833,83.46,69,100,11.03
2,Norman Wells,CA,2022-05-22 05:35:11,65.282,-126.8329,41.04,93,100,3.44
3,Hofn,IS,2022-05-22 05:36:19,64.2539,-15.2082,46.06,86,100,16.53
4,Marzuq,YE,2022-05-22 05:36:20,14.4,46.4667,89.6,12,44,3.96
5,Puerto Ayora,EC,2022-05-22 05:28:05,-0.7393,-90.3518,71.08,89,56,5.82
6,New Norfolk,AU,2022-05-22 05:36:20,-42.7826,147.0587,55.92,71,84,1.32
7,Arraial Do Cabo,BR,2022-05-22 05:35:29,-22.9661,-42.0278,68.13,75,11,6.31
8,San Patricio,US,2022-05-22 05:36:20,28.017,-97.5169,82.29,93,43,5.99
9,Mataura,NZ,2022-05-22 05:29:14,-46.1927,168.8643,42.35,82,68,8.08
10,Georgiyevka,KZ,2022-05-22 05:36:21,43.0369,74.7114,59.04,82,75,4.47
11,Victoria,HK,2022-05-22 05:33:53,22.2855,114.1577,82.96,81,94,15.99
12,Hermanus,ZA,2022-05-22 05:36:21,-34.4187,19.2345,56.34,77,30,6.89
13,Kapaa,US,2022-05-22 05:28:05,22.0752,-159.319,78.78,91,100,11.5
14,Albany,US,2022-05-22 05:29:13,42.6001,-73.9662,75.52,85,61,1.01
15,Kudahuvadhoo,MV,2022-05-22 05:36:21,2.6708,72.8944,83.3,76,91,13.2
16,Nioro,GM,2022-05-22 05:36:22,13.35,-15.75,72.66,75,91,5.84
17,Souillac,MU,2022-05-22 05:36:22,-20.5167,57.5167,77.38,69,75,9.22
18,Tiarei,PF,2022-05-22 05:36:22,-17.5333,-149.3333,80.01,72,18,11.03
19,Parakou,BJ,2022-05-22 05:36:22,9.3372,2.6303,71.96,93,96,6.17
20,Narsaq,GL,2022-05-22 05:36:23,60.9167,-46.05,37.62,81,100,7.02
21,Ushuaia,AR,2022-05-22 05:28:09,-54.8,-68.3,37.06,81,0,6.91
22,Hobart,AU,2022-05-22 05:29:13,-42.8794,147.3294,56.26,74,100,9.22
23,Castro,BR,2022-05-22 05:28:08,-24.7911,-50.0119,43.21,82,1,2.86
24,Avarua,CK,2022-05-22 05:35:17,-21.2078,-159.775,75.25,88,75,5.75
25,Slonim,BY,2022-05-22 05:36:23,53.0867,25.3219,47.3,94,100,12.37
26,Yellowknife,CA,2022-05-22 05:25:56,62.456,-114.3525,41.56,100,75,11.5
27,Umm Lajj,SA,2022-05-22 05:36:23,25.0213,37.2685,82.22,66,0,15.17
28,Bluff,NZ,2022-05-22 05:29:18,-46.6,168.3333,48.67,65,69,21.39
29,Broken Hill,AU,2022-05-22 05:36:24,-31.95,141.4333,64.76,54,24,12.06
30,Progreso,MX,2022-05-22 05:36:24,21.2833,-89.6667,84.31,86,72,15.03
31,Cape Town,ZA,2022-05-22 05:28:09,-33.9258,18.4232,56.12,90,0,5.75
32,Nouadhibou,MR,2022-05-22 05:36:24,20.931,-17.0347,64.38,94,75,17.27
33,Lorengau,PG,2022-05-22 05:36:25,-2.0226,147.2712,85.8,67,96,9.69
34,Aksu,CN,2022-05-22 05:36:25,41.1231,80.2644,85.06,16,100,13.29
35,Dikson,RU,2022-05-22 05:35:17,73.5069,80.5464,28.69,86,73,12.57
36,Dickinson,US,2022-05-22 05:36:25,29.4608,-95.0513,83.14,88,75,11.5
37,Vaini,TO,2022-05-22 05:28:12,-21.2,-175.2,77.16,88,75,5.75
38,Frontera,MX,2022-05-22 05:36:25,26.9333,-101.45,89.33,38,0,1.99
39,Jamestown,US,2022-05-22 05:32:16,42.097,-79.2353,63.99,95,20,5.75
40,Olutanga,PH,2022-05-22 05:36:26,7.3106,122.8464,84.27,68,94,7.0
41,Turukhansk,RU,2022-05-22 05:36:26,65.8167,87.9833,61.86,51,34,2.21
42,Marawi,PH,2022-05-22 05:35:16,7.9986,124.2928,77.45,85,90,2.59
43,Tiksi,RU,2022-05-22 05:36:26,71.6872,128.8694,31.53,92,100,4.41
44,Adrar,MR,2022-05-22 05:36:27,20.5022,-10.0711,83.73,12,2,8.93
45,Birin,NP,2022-05-22 05:36:27,26.8865,88.0718,71.24,66,67,6.06
46,Chokurdakh,RU,2022-05-22 05:28:09,70.6333,147.9167,34.45,100,100,1.77
47,Banda Aceh,ID,2022-05-22 05:35:11,5.5577,95.3222,87.12,66,17,18.32
48,Punta Arenas,CL,2022-05-22 05:28:12,-53.15,-70.9167,35.71,87,75,5.75
49,Torbay,CA,2022-05-22 05:37:27,47.6666,-52.7314,52.57,59,100,12.66
50,Rikitea,PF,2022-05-22 05:29:14,-23.1203,-134.9692,75.56,77,5,13.33
51,Tasiilaq,GL,2022-05-22 05:37:27,65.6145,-37.6368,32.16,72,56,4.0
52,Gisborne,NZ,2022-05-22 05:37:28,-38.6533,178.0042,59.5,64,10,11.05
53,Norrtalje,SE,2022-05-22 05:37:28,59.758,18.705,51.03,50,100,5.46
54,Saint-Philippe,RE,2022-05-22 05:35:13,-21.3585,55.7679,76.59,73,15,10.54
55,Gaogou,CN,2022-05-22 05:37:28,34.0175,119.1886,91.06,24,90,8.52
56,Faanui,PF,2022-05-22 05:37:28,-16.4833,-151.75,80.49,73,11,11.5
57,Laguna,US,2022-05-22 05:37:29,38.421,-121.4238,73.4,38,0,6.91
58,Barrow,US,2022-05-22 05:25:04,71.2906,-156.7887,23.02,93,100,11.5
59,Qaanaaq,GL,2022-05-22 05:37:29,77.484,-69.3632,15.46,83,99,5.7
60,Ellenabad,IN,2022-05-22 05:37:29,29.45,74.65,106.18,8,0,2.91
61,Humberto De Campos,BR,2022-05-22 05:37:30,-2.5983,-43.4611,71.47,97,74,1.1
62,Someshwar,IN,2022-05-22 05:37:30,13.5,75.0667,82.58,78,93,5.57
63,Kaitangata,NZ,2022-05-22 05:37:30,-46.2817,169.8464,44.42,74,55,12.15
64,Thompson,CA,2022-05-22 05:29:16,55.7435,-97.8558,33.96,80,40,0.0
65,Bowen,AU,2022-05-22 05:37:30,-20.0167,148.2333,76.44,70,54,16.8
66,Lujan,AR,2022-05-22 05:37:31,-34.5703,-59.105,51.94,60,1,1.86
67,Airai,TL,2022-05-22 05:35:15,-8.9266,125.4092,72.57,55,44,4.34
68,Brownwood,US,2022-05-22 05:37:31,31.7093,-98.9912,65.52,59,100,12.66
69,Jos,NG,2022-05-22 05:37:31,9.9167,8.9,69.1,83,82,3.87
70,Bredasdorp,ZA,2022-05-22 05:35:14,-34.5322,20.0403,52.11,82,30,6.04
71,Ahipara,NZ,2022-05-22 05:37:31,-35.1667,173.1667,59.9,78,100,11.16
72,Beitbridge,ZW,2022-05-22 05:37:32,-22.2167,30.0,62.74,51,50,4.09
73,Paracuru,BR,2022-05-22 05:37:32,-3.41,-39.0306,74.1,90,20,7.23
74,Bluefields,NI,2022-05-22 05:37:32,12.0137,-83.7635,76.78,91,99,4.85
75,Saint George,US,2022-05-22 05:35:54,37.1041,-113.5841,64.99,24,0,5.75
76,Kiri Buru,IN,2022-05-22 05:37:33,22.0833,85.35,99.46,26,82,11.83
77,Port Macquarie,AU,2022-05-22 05:37:33,-31.4333,152.9167,58.89,100,75,8.05
78,Nyurba,RU,2022-05-22 05:37:33,63.2842,118.3319,62.74,40,82,8.14
79,Bengkulu,ID,2022-05-22 05:29:18,-3.8004,102.2655,84.61,65,56,6.44
80,Vila Velha,BR,2022-05-22 05:34:29,-20.3297,-40.2925,60.75,94,40,2.3
81,Busselton,AU,2022-05-22 05:29:17,-33.65,115.3333,68.23,72,53,24.67
82,Pochutla,MX,2022-05-22 05:37:33,15.7432,-96.4661,76.82,78,98,4.21
83,Butare,RW,2022-05-22 05:37:34,-2.5967,29.7394,62.58,78,100,1.19
84,Pevek,RU,2022-05-22 05:37:34,69.7008,170.3133,37.08,91,77,6.04
85,Clyde River,CA,2022-05-22 05:37:34,70.4692,-68.5914,19.63,93,100,16.11
86,Doha,QA,2022-05-22 05:37:34,25.2867,51.5333,96.78,23,0,16.11
87,Tura,IN,2022-05-22 05:35:12,25.5198,90.2201,86.16,61,15,5.48
88,Port Alfred,ZA,2022-05-22 05:37:35,-33.5906,26.891,58.26,78,2,6.15
89,Alta Floresta,BR,2022-05-22 05:35:13,-9.8756,-56.0861,63.43,79,1,3.18
90,Jaciara,BR,2022-05-22 05:36:26,-15.9653,-54.9683,54.37,58,14,2.15
91,Qaqortoq,GL,2022-05-22 05:37:35,60.7167,-46.0333,39.36,82,100,13.38
92,Egvekinot,RU,2022-05-22 05:37:35,66.3167,-179.1667,48.13,51,69,2.59
93,Waddan,LY,2022-05-22 05:38:35,29.1614,16.139,67.37,31,0,6.15
94,Caravelas,BR,2022-05-22 05:38:36,-17.7125,-39.2481,69.67,75,0,6.33
95,Vygonichi,RU,2022-05-22 05:38:36,53.0985,34.0673,46.51,100,100,8.95
96,Meulaboh,ID,2022-05-22 05:38:36,4.1363,96.1285,83.93,71,91,4.05
97,Kangaba,ML,2022-05-22 05:38:37,11.9333,-8.4167,76.42,74,100,6.85
98,Tramandai,BR,2022-05-22 05:33:48,-29.9847,-50.1336,55.35,81,90,3.42
99,Boyolangu,ID,2022-05-22 05:38:37,-8.1181,111.8935,85.06,69,32,1.57
100,Klaksvik,FO,2022-05-22 05:38:37,62.2266,-6.589,47.32,88,100,13.2
101,Constitucion,CL,2022-05-22 05:35:56,-35.3333,-72.4167,53.1,71,100,4.85
102,Batagay-Alyta,RU,2022-05-22 05:38:37,67.8006,130.4114,40.23,71,85,1.83
103,Corrente,BR,2022-05-22 05:38:38,-3.7367,-43.3394,69.93,99,85,1.52
104,Lingdong,CN,2022-05-22 05:38:38,46.5669,131.1453,68.58,32,38,8.63
105,Srednekolymsk,RU,2022-05-22 05:38:38,67.45,153.6833,55.44,46,99,11.12
106,Lubango,AO,2022-05-22 05:38:39,-14.9172,13.4925,54.48,31,43,0.87
107,Hasaki,JP,2022-05-22 05:38:39,35.7333,140.8333,72.0,80,91,19.04
108,Fayaoue,NC,2022-05-22 05:38:39,-20.65,166.5333,77.59,81,80,16.96
109,Prince Rupert,CA,2022-05-22 05:38:39,54.3161,-130.3201,56.89,55,0,4.61
110,Nikolskoye,RU,2022-05-22 05:38:40,59.7035,30.7861,48.87,44,0,7.34
111,Herat,AF,2022-05-22 05:35:12,34.5,62.0,64.11,40,0,21.85
112,Siocon,PH,2022-05-22 05:38:40,7.7061,122.1353,85.44,72,98,5.61
113,Margate,GB,2022-05-22 05:38:40,51.3813,1.3862,53.69,89,75,3.18
114,Buchanan,LR,2022-05-22 05:34:43,5.8808,-10.0467,74.86,91,100,5.12
115,Sitka,US,2022-05-22 05:38:40,57.0531,-135.33,53.49,58,0,3.44
116,La Ronge,CA,2022-05-22 05:38:41,55.1001,-105.2842,48.42,34,20,5.75
117,Port Lincoln,AU,2022-05-22 05:38:41,-34.7333,135.8667,62.69,71,86,12.41
118,Fairbanks,US,2022-05-22 05:36:58,64.8378,-147.7164,66.6,36,40,12.66
119,Libertador General San Martin,AR,2022-05-22 05:38:41,-23.8064,-64.7876,54.5,68,53,2.84
120,Kostino,RU,2022-05-22 05:38:41,58.9097,53.2691,34.92,85,100,8.01
121,Skibbereen,IE,2022-05-22 05:38:42,51.55,-9.2667,54.1,91,100,11.88
122,East London,ZA,2022-05-22 05:38:42,-33.0153,27.9116,52.74,87,20,5.75
123,Hilo,US,2022-05-22 05:35:14,19.7297,-155.09,83.28,83,40,6.91
124,Tautira,PF,2022-05-22 05:38:42,-17.7333,-149.15,79.74,72,22,10.71
125,Presidente Medici,BR,2022-05-22 05:38:42,-11.1753,-61.9014,65.07,86,3,1.45
126,Esperance,AU,2022-05-22 05:38:43,-33.8667,121.9,75.04,53,33,15.95
127,Tuktoyaktuk,CA,2022-05-22 05:38:43,69.4541,-133.0374,23.0,80,75,12.66
128,Nebolchi,RU,2022-05-22 05:38:43,59.1239,33.3454,42.84,43,3,8.3
129,Cherskiy,RU,2022-05-22 05:38:44,68.75,161.3,59.11,35,43,15.08
130,Sidney,AU,2022-05-22 05:34:46,-33.8679,151.2073,65.5,73,75,13.8
131,Bethel,US,2022-05-22 05:38:44,41.3712,-73.414,73.11,86,0,0.0
132,Guerrero Negro,MX,2022-05-22 05:35:16,27.9769,-114.0611,60.48,78,96,13.44
133,Ancud,CL,2022-05-22 05:38:44,-41.8697,-73.8203,51.71,94,100,12.08
134,Golden,US,2022-05-22 05:38:44,39.7555,-105.2211,41.56,80,100,3.0
135,Butaritari,KI,2022-05-22 05:38:45,3.0707,172.7902,81.84,78,79,11.56
136,Carnarvon,AU,2022-05-22 05:38:45,-24.8667,113.6333,76.35,60,11,22.53
137,Atuona,PF,2022-05-22 05:35:00,-9.8,-139.0333,77.54,79,20,8.59
138,Ponta Do Sol,PT,2022-05-22 05:35:15,32.6667,-17.1,65.71,79,54,3.04
139,Provideniya,RU,2022-05-22 05:39:45,64.3833,-173.3,47.77,55,97,11.68
140,Kokopo,PG,2022-05-22 05:39:46,-4.352,152.2633,84.13,65,74,4.16
141,Halifax,CA,2022-05-22 05:39:46,44.6453,-63.5724,51.35,90,93,11.5
142,Lebu,CL,2022-05-22 05:39:46,-37.6167,-73.65,53.11,88,97,16.89
143,Camana,PE,2022-05-22 05:39:46,-16.6228,-72.7111,64.94,85,95,7.96
144,Saint-Jean-Port-Joli,CA,2022-05-22 05:39:47,47.2171,-70.2658,64.0,98,98,4.16
145,Orlik,RU,2022-05-22 05:39:47,52.5178,99.825,67.59,25,11,12.93
146,Belyy Yar,RU,2022-05-22 05:39:47,53.6039,91.3903,82.85,24,0,11.18
147,Khatanga,RU,2022-05-22 05:39:48,71.9667,102.5,34.57,95,100,7.23
148,Athabasca,CA,2022-05-22 05:39:48,54.7169,-113.2854,45.01,56,70,6.08
149,Palmas,BR,2022-05-22 05:39:48,-10.2128,-48.3603,64.27,88,0,5.75
150,Barentu,ER,2022-05-22 05:39:48,15.1139,37.5928,84.2,44,34,9.71
151,Matara,LK,2022-05-22 05:39:49,5.9485,80.5353,86.25,69,33,14.74
152,Conde,BR,2022-05-22 05:39:49,-7.2597,-34.9075,74.66,94,40,8.05
153,Talnakh,RU,2022-05-22 05:39:07,69.4865,88.3972,47.21,81,99,7.58
154,Sao Filipe,CV,2022-05-22 05:39:49,14.8961,-24.4956,70.75,79,67,7.9
155,Georgetown,MY,2022-05-22 05:35:18,5.4112,100.3354,89.53,73,20,10.36
156,Grindavik,IS,2022-05-22 05:39:49,63.8424,-22.4338,43.27,87,0,18.41
157,Constantine,DZ,2022-05-22 05:39:50,36.365,6.6147,58.41,47,0,0.0
158,Mar Del Plata,AR,2022-05-22 05:39:50,-38.0023,-57.5575,46.94,92,15,1.99
159,Katete,UG,2022-05-22 05:39:50,-0.7818,29.7544,70.11,68,100,0.74
160,San Quintin,MX,2022-05-22 05:39:50,30.4833,-115.95,58.59,79,52,3.78
161,Lasa,IT,2022-05-22 05:39:51,46.6166,10.7002,58.08,50,29,4.72
162,Hamilton,US,2022-05-22 05:35:31,39.1834,-84.5333,66.97,96,100,5.75
163,Fairlie,GB,2022-05-22 05:39:51,55.756,-4.8556,55.4,88,100,4.0
164,Katsuura,JP,2022-05-22 05:39:51,35.1333,140.3,67.17,71,83,11.79
165,Beringovskiy,RU,2022-05-22 05:39:51,63.05,179.3167,37.87,83,100,8.19
166,Nouakchott,MR,2022-05-22 05:36:48,18.0858,-15.9785,66.13,92,50,14.05
167,Blairmore,CA,2022-05-22 05:39:52,49.6,-114.4353,35.29,93,57,1.14
168,Angoche,MZ,2022-05-22 05:39:52,-16.2325,39.9086,77.27,77,5,7.25
169,Leningradskiy,RU,2022-05-22 05:39:52,69.3833,178.4167,34.0,96,95,11.16
170,Goundam,ML,2022-05-22 05:39:53,16.4145,-3.6708,86.49,42,67,12.97
171,Manyana,BW,2022-05-22 05:39:53,-23.4,21.7167,43.79,85,1,6.31
172,Ostrovnoy,RU,2022-05-22 05:35:14,68.0531,39.5131,32.83,65,66,10.65
173,Nizhnyaya Salda,RU,2022-05-22 05:39:53,58.0776,60.7202,35.89,98,100,8.43
174,Gamba,GA,2022-05-22 05:39:54,-2.65,10.0,74.12,85,93,4.5
175,Taoudenni,ML,2022-05-22 05:35:18,22.6783,-3.9836,84.54,12,0,11.48
176,Grivenskaya,RU,2022-05-22 05:39:54,45.6473,38.176,65.59,51,77,19.01
177,Upernavik,GL,2022-05-22 05:39:54,72.7868,-56.1549,28.76,86,100,5.75
178,Zhigansk,RU,2022-05-22 05:39:54,66.7697,123.3711,49.26,46,49,7.56
179,Sechura,PE,2022-05-22 05:39:55,-5.5569,-80.8222,65.75,81,79,14.38
180,Whitehorse,CA,2022-05-22 05:39:11,60.7161,-135.0538,57.97,26,20,6.91
181,Mahebourg,MU,2022-05-22 05:40:55,-20.4081,57.7,77.29,69,75,9.22
182,Bambous Virieux,MU,2022-05-22 05:40:55,-20.3428,57.7575,77.25,69,75,9.22
183,Sioux Lookout,CA,2022-05-22 05:40:55,50.1001,-91.917,37.47,81,100,2.3
184,Vaitape,PF,2022-05-22 05:40:56,-16.5167,-151.75,80.53,73,10,11.52
185,El Alto,PE,2022-05-22 05:40:56,-4.2714,-81.2147,66.69,78,77,13.18
186,Melilla,ES,2022-05-22 05:40:56,35.2937,-2.9383,68.38,88,20,8.05
187,Kamensk-Uralskiy,RU,2022-05-22 05:40:57,56.4185,61.9329,40.48,85,100,16.78
188,Dunda,TZ,2022-05-22 05:40:57,-8.1167,34.25,70.3,63,100,4.38
189,Sabang,ID,2022-05-22 05:40:57,5.8933,95.3214,83.3,78,56,25.55
190,Vanino,RU,2022-05-22 05:40:57,49.0869,140.2543,42.96,93,100,9.06
191,Manggar,ID,2022-05-22 05:40:58,-2.8833,108.2667,86.05,67,61,9.06
192,Kodiak,US,2022-05-22 05:40:58,57.79,-152.4072,45.91,93,100,16.11
193,Hervey Bay,AU,2022-05-22 05:40:58,-25.2986,152.8535,68.02,93,61,5.99
194,Dunedin,NZ,2022-05-22 05:40:59,-45.8742,170.5036,48.79,64,80,15.99
195,Sabha,LY,2022-05-22 05:40:59,27.0377,14.4283,68.92,19,0,13.44
196,Zyryanka,RU,2022-05-22 05:40:59,65.75,150.85,58.28,32,98,10.83
197,Lagoa,PT,2022-05-22 05:40:59,39.05,-27.9833,61.86,94,100,1.83
198,Isangel,VU,2022-05-22 05:37:47,-19.55,169.2667,77.65,87,50,12.15
199,Fortuna,US,2022-05-22 05:41:00,40.5982,-124.1573,51.93,89,100,10.36
200,Saldanha,ZA,2022-05-22 05:41:00,-33.0117,17.9442,42.85,82,55,5.28
201,Opotiki,NZ,2022-05-22 05:41:00,-38.0833,177.2833,59.38,77,49,8.95
202,Yining,CN,2022-05-22 05:41:01,29.0361,114.5636,74.48,72,100,1.32
203,Port Augusta,AU,2022-05-22 05:41:01,-32.5,137.7667,70.97,42,46,9.73
204,Paamiut,GL,2022-05-22 05:41:01,61.994,-49.6678,39.0,85,100,41.94
205,Dwarka,IN,2022-05-22 05:41:01,22.2394,68.9678,86.09,70,59,25.93
206,Santa Rosa,PH,2022-05-22 05:41:02,14.3122,121.1114,91.38,65,96,4.92
207,Tupik,RU,2022-05-22 05:41:02,54.4253,119.9327,42.1,96,100,9.91
208,Ribeira Grande,PT,2022-05-22 05:35:18,38.5167,-28.7,63.9,94,100,1.83
209,Ahuimanu,US,2022-05-22 05:41:02,21.4447,-157.8378,82.11,71,0,16.11
210,Cayenne,GF,2022-05-22 05:41:02,4.9333,-52.3333,76.08,1,100,0.0
211,Gizo,SB,2022-05-22 05:41:03,-8.103,156.8419,84.99,67,15,3.0
212,Kangasala,FI,2022-05-22 05:41:03,61.4638,24.076,52.14,49,97,3.65
213,Maniitsoq,GL,2022-05-22 05:41:03,65.4167,-52.9,34.0,98,100,21.9
214,Buala,SB,2022-05-22 05:41:03,-8.145,159.5921,83.89,70,21,5.23
215,Itupiranga,BR,2022-05-22 05:41:04,-5.1347,-49.3267,71.92,84,94,0.65
216,San Joaquin,US,2022-05-22 05:41:04,37.9333,-121.3011,71.85,32,0,9.22
217,Layton,US,2022-05-22 05:37:16,41.0602,-111.971,54.5,35,0,9.22
218,Ushibuka,JP,2022-05-22 05:41:04,32.1906,130.0228,70.48,74,98,10.4
219,Kindu,CD,2022-05-22 05:41:05,-2.95,25.95,71.17,99,100,1.1
220,San Andres,CO,2022-05-22 05:39:13,12.5847,-81.7006,78.82,94,100,3.44
221,Saskylakh,RU,2022-05-22 05:41:05,71.9167,114.0833,34.95,100,100,2.24
222,Kununurra,AU,2022-05-22 05:41:05,-15.7667,128.7333,91.38,21,4,6.91
223,Yar-Sale,RU,2022-05-22 05:41:06,66.8333,70.8333,36.99,65,100,16.67
224,Yaan,NG,2022-05-22 05:41:06,7.3833,8.5667,74.53,86,97,4.23
225,Narkanda,IN,2022-05-22 05:42:06,31.2548,77.4613,69.55,19,11,6.85
226,Noumea,NC,2022-05-22 05:42:06,-22.2763,166.4572,80.01,99,76,13.27
227,Okha,RU,2022-05-22 05:42:07,53.5739,142.9478,34.29,99,100,6.08
228,Tommot,RU,2022-05-22 05:42:07,58.9564,126.2925,57.51,57,88,1.79
229,Komsomolskiy,UZ,2022-05-22 05:42:07,40.4272,71.7189,59.72,67,75,27.63
230,Quatre Cocos,MU,2022-05-22 05:42:07,-20.2078,57.7625,77.11,71,21,15.84
231,Husavik,IS,2022-05-22 05:42:08,66.0449,-17.3389,38.61,98,100,10.69
232,Hualmay,PE,2022-05-22 05:42:08,-11.0964,-77.6139,63.37,88,77,6.67
233,Lompoc,US,2022-05-22 05:42:08,34.6391,-120.4579,53.02,85,100,3.0
234,Manzhouli,CN,2022-05-22 05:42:08,49.6,117.4333,72.23,28,85,20.49
235,Hokitika,NZ,2022-05-22 05:42:09,-42.7167,170.9667,53.06,80,99,14.47
236,Mundo Nuevo,MX,2022-05-22 05:42:09,18.7,-95.5,81.77,63,40,13.31
237,Vilyuysk,RU,2022-05-22 05:42:09,63.7553,121.6247,60.76,37,76,5.79
238,Tuatapere,NZ,2022-05-22 05:42:09,-46.1333,167.6833,43.86,80,64,12.12
239,Chai Nat,TH,2022-05-22 05:42:10,15.1167,100.1,78.67,84,100,7.65
240,Rocha,UY,2022-05-22 05:42:10,-34.4833,-54.3333,47.8,89,1,3.94
241,Port Hardy,CA,2022-05-22 05:41:20,50.6996,-127.4199,48.38,87,20,2.3
242,Port-Cartier,CA,2022-05-22 05:42:10,50.0334,-66.8654,46.62,97,73,2.3
243,Griffith,US,2022-05-22 05:42:10,41.5284,-87.4237,57.31,87,100,0.0
244,Tilichiki,RU,2022-05-22 05:42:11,60.4667,166.1,39.36,74,79,3.42
245,Caconda,AO,2022-05-22 05:42:11,-13.7333,15.0667,51.73,57,77,2.33
246,Timra,SE,2022-05-22 05:42:11,62.487,17.3257,44.28,70,40,3.44
247,Muzhi,RU,2022-05-22 05:42:11,65.3667,64.6667,35.28,75,100,22.62
248,Nome,US,2022-05-22 05:42:12,64.5011,-165.4064,61.11,39,0,6.91
249,Khovu-Aksy,RU,2022-05-22 05:42:12,51.1333,93.6,73.76,23,83,5.99
250,Pasighat,IN,2022-05-22 05:42:12,28.0667,95.3333,83.86,71,40,3.89
251,Valparaiso,CL,2022-05-22 05:40:15,-33.0393,-71.6273,57.47,77,40,0.0
252,Hay River,CA,2022-05-22 05:42:13,60.8156,-115.7999,42.78,87,98,5.75
253,Banjar,ID,2022-05-22 05:42:13,-8.19,114.9675,85.71,69,63,5.28
254,Bud,US,2022-05-22 05:42:13,39.447,-86.1758,66.67,96,99,5.66
255,Iskitim,RU,2022-05-22 05:42:13,54.6366,83.3045,80.19,41,100,14.67
256,Lagunas,PE,2022-05-22 05:35:12,-5.2269,-75.6753,70.86,88,11,1.74
257,Riberalta,BO,2022-05-22 05:42:14,-10.9833,-66.1,68.5,84,1,1.97
258,Santiago Del Estero,AR,2022-05-22 05:42:14,-27.7951,-64.2615,53.96,52,67,3.87
259,Luderitz,NA,2022-05-22 05:42:14,-26.6481,15.1594,55.9,58,4,5.57
260,Winnemucca,US,2022-05-22 05:42:14,40.973,-117.7357,44.65,31,0,4.61
261,Les Cayes,HT,2022-05-22 05:42:15,18.2,-73.75,77.76,85,87,5.61
262,Shingu,JP,2022-05-22 05:42:15,33.7333,135.9833,73.69,60,54,4.5
263,Kushima,JP,2022-05-22 05:42:15,31.4583,131.2333,77.74,55,97,6.71
264,Aire-Sur-La-Lys,FR,2022-05-22 05:40:48,50.6387,2.3988,52.75,97,89,2.77
265,Araripina,BR,2022-05-22 05:42:15,-7.5761,-40.4983,66.54,93,58,12.46
266,Russell,US,2022-05-22 05:41:20,32.3502,-85.1999,72.63,94,0,4.61
267,Leicester,GB,2022-05-22 05:42:16,52.6386,-1.1317,55.65,75,92,7.14
268,Kavieng,PG,2022-05-22 05:42:16,-2.5744,150.7967,84.65,65,95,13.51
269,High Rock,BS,2022-05-22 05:42:16,26.6208,-78.2833,78.82,84,77,15.01
270,Pangnirtung,CA,2022-05-22 05:42:16,66.1451,-65.7125,26.6,81,100,7.83
271,Kayerkan,RU,2022-05-22 05:42:17,69.3497,87.7602,46.53,87,96,2.53
272,Paciran,ID,2022-05-22 05:42:17,-6.8767,112.3761,87.24,63,61,12.8
273,Kambove,CD,2022-05-22 05:41:18,-10.8764,26.5969,65.97,66,78,1.5
274,Villa Bruzual,VE,2022-05-22 05:43:17,9.3328,-69.1208,76.77,69,49,3.33
